Date,Open,High,Low,Close,Adj Close,Volume
2022-09-27,7425.000000,7525.000000,7350.000000,7500.000000,7185.653809,12790100
2022-09-28,7500.000000,7550.000000,7350.000000,7400.000000,7089.845215,13241400
2022-09-29,7425.000000,7550.000000,7250.000000,7500.000000,7185.653809,17958300
2022-09-30,7475.000000,7525.000000,7350.000000,7475.000000,7161.701660,14799300
2022-10-03,7400.000000,7500.000000,7325.000000,7450.000000,7137.749512,6550100
2022-10-04,7500.000000,7525.000000,7425.000000,7450.000000,7137.749512,7700200
2022-10-05,7450.000000,7525.000000,7325.000000,7325.000000,7017.988770,5447900
2022-10-06,7350.000000,7425.000000,7275.000000,7325.000000,7017.988770,11407800
2022-10-07,7325.000000,7400.000000,7150.000000,7225.000000,6922.180176,6120300
2022-10-10,7100.000000,7400.000000,7100.000000,7350.000000,7041.940918,6749600
2022-10-11,7400.000000,7575.000000,7250.000000,7525.000000,7209.606445,11953200
2022-10-12,7525.000000,7600.000000,7325.000000,7500.000000,7185.653809,12726600
2022-10-13,7500.000000,7525.000000,7350.000000,7350.000000,7041.940918,4795700
2022-10-14,7400.000000,7475.000000,7200.000000,7200.000000,6898.228027,6307300
2022-10-17,7175.000000,7500.000000,7125.000000,7500.000000,7185.653809,9041100
2022-10-18,7500.000000,7525.000000,7425.000000,7525.000000,7209.606445,11744700
2022-10-19,7525.000000,7800.000000,7475.000000,7750.000000,7425.175781,19496700
2022-10-20,7775.000000,7825.000000,7725.000000,7800.000000,7473.080078,9599700
2022-10-21,7800.000000,7800.000000,7600.000000,7600.000000,7281.462891,6489700
2022-10-24,7600.000000,7700.000000,7500.000000,7575.000000,7257.510742,7260300
2022-10-25,7625.000000,7625.000000,7425.000000,7475.000000,7161.701660,10310300
2022-10-26,7475.000000,7550.000000,7425.000000,7475.000000,7161.701660,7381600
2022-10-27,7550.000000,7725.000000,7500.000000,7675.000000,7353.319336,9017400
2022-10-28,7675.000000,7750.000000,7550.000000,7750.000000,7425.175781,6005900
2022-10-31,7775.000000,7950.000000,7725.000000,7950.000000,7616.793457,13387900
2022-11-01,7950.000000,8100.000000,7800.000000,8025.000000,7688.649902,20339400
2022-11-02,8025.000000,8175.000000,7975.000000,8100.000000,7760.506348,10277400
2022-11-03,8075.000000,8075.000000,7975.000000,8025.000000,7688.649902,7619100
2022-11-04,8000.000000,8300.000000,8000.000000,8250.000000,7904.219238,19450400
2022-11-07,8275.000000,8275.000000,8150.000000,8250.000000,7904.219238,7643200
2022-11-08,8225.000000,8225.000000,7900.000000,7950.000000,7616.793457,14755000
2022-11-09,7925.000000,7950.000000,7725.000000,7875.000000,7544.936523,17783300
2022-11-10,7825.000000,8000.000000,7750.000000,7975.000000,7640.745605,14471100
2022-11-11,8075.000000,8150.000000,7950.000000,8125.000000,7784.458496,12733700
2022-11-14,8125.000000,8150.000000,7900.000000,8000.000000,7664.697754,4703600
2022-11-15,8000.000000,8025.000000,7825.000000,7950.000000,7616.793457,9014700
2022-11-16,7925.000000,7925.000000,7575.000000,7625.000000,7305.415039,18341200
2022-11-17,7625.000000,7725.000000,7525.000000,7625.000000,7305.415039,6644600
2022-11-18,7650.000000,7775.000000,7625.000000,7725.000000,7401.223633,6124400
2022-11-21,7725.000000,7750.000000,7650.000000,7675.000000,7353.319336,3831800
2022-11-22,7700.000000,7775.000000,7675.000000,7700.000000,7377.271484,3450800
2022-11-23,7700.000000,7775.000000,7650.000000,7650.000000,7329.367188,5130900
2022-11-24,7650.000000,7700.000000,7600.000000,7600.000000,7281.462891,4450900
2022-11-25,7550.000000,7750.000000,7550.000000,7700.000000,7377.271484,7814800
2022-11-28,7700.000000,7750.000000,7625.000000,7700.000000,7377.271484,6961000
2022-11-29,7700.000000,7700.000000,7550.000000,7600.000000,7281.462891,4202400
2022-11-30,7600.000000,7775.000000,7600.000000,7600.000000,7281.462891,24809700
2022-12-01,7700.000000,7725.000000,7575.000000,7700.000000,7377.271484,12680500
2022-12-02,7725.000000,7750.000000,7600.000000,7675.000000,7353.319336,4959700
2022-12-05,7628.774902,7678.636230,7628.774902,7678.636230,7356.803223,4965476
2022-12-06,7653.705566,7653.705566,7155.092773,7155.092773,6855.202637,12942508
2022-12-07,6980.578613,7155.092773,6830.994629,6980.578613,6688.002930,15743480
2022-12-08,6980.578613,7055.370605,6830.994629,6930.717285,6640.231445,11992974
2022-12-09,6930.717285,6955.647949,6731.271973,6930.717285,6640.231445,12786175
2022-12-12,6830.994629,6830.994629,6631.549805,6731.271973,6449.145508,19619534
2022-12-13,6725.000000,7100.000000,6725.000000,7000.000000,6706.610352,14420700
2022-12-14,7050.000000,7100.000000,6850.000000,7000.000000,6706.610352,8380800
2022-12-15,6975.000000,7225.000000,6875.000000,7225.000000,6922.180176,12044000
